new_id,category,style,retrieved_count,generated_count,success,error,style_prompt
NEW001,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW001.jpg',
NEW002,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW002.jpg',
NEW003,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW003.jpg',
NEW004,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW004.jpg',
NEW005,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW005.jpg',
NEW006,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW006.jpg',
NEW007,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW007.jpg',
NEW_1773391299_006bf1d1,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773391299_006bf1d1.jpg',
NEW_1773454818_75e446cc,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773454818_75e446cc.jpg',
NEW_1773469269_24ba47c3,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773469269_24ba47c3.jpg',
NEW_1773470895_47628586,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773470895_47628586.jpg',
NEW_1773471116_082fb716,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773471116_082fb716.jpg',
NEW_1773472382_a51c5936,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773472382_a51c5936.jpg',
NEW_1773472716_7a1a9b57,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773472716_7a1a9b57.jpg',
NEW_1773473451_206a0ddb,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773473451_206a0ddb.jpg',
NEW_1773473515_73ab2f39,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773473515_73ab2f39.jpg',
NEW_1773473585_494cfed6,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773473585_494cfed6.jpg',
NEW_1773473760_0dafb1f7,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773473760_0dafb1f7.jpg',
NEW_1773474525_05442463,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773474525_05442463.jpg',
NEW_1773476007_7f7393bd,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773476007_7f7393bd.jpg',
NEW_1773476343_8ecf8bde,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773476343_8ecf8bde.jpg',
NEW_1773476675_72973842,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773476675_72973842.jpg',
NEW_1773477119_a64d8f5a,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773477119_a64d8f5a.jpg',
NEW_1773477478_726fc887,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773477478_726fc887.jpg',
NEW_1773539814_bf6e04db,midi_dress,elegant,3,1,True,,纯黑背景棚拍，聚光灯打亮主体，模特正面站姿，构图居中；户外自然光，浅景深虚化背景，模特动态抓拍；庭院石径逆光，柔光营造梦幻氛围，整体呈现高级时尚感。
NEW_1773735571_a24c4432,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773735571_a24c4432.jpg',
NEW_1773735855_922f067d,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773735855_922f067d.jpg',
NEW_1773736220_fc745377,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773736220_fc745377.jpg',
NEW_1773736532_ec25c6ff,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773736532_ec25c6ff.jpg',
NEW_1773737458_2e4aa87d,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773737458_2e4aa87d.jpg',
NEW_1773737589_825ccb7b,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773737589_825ccb7b.jpg',
NEW_1773738281_e31e0347,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773738281_e31e0347.jpg',
NEW_1773738316_d251a893,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773738316_d251a893.jpg',
NEW_1773738554_c5a51060,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773738554_c5a51060.jpg',
NEW_1773738670_6f571ebd,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773738670_6f571ebd.jpg',
NEW_1773749506_d81426fd,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773749506_d81426fd.jpg',
NEW_1773750755_63bb96d7,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773750755_63bb96d7.jpg',
NEW_1773751397_5f4dc6fc,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773751397_5f4dc6fc.jpg',
NEW_1773751482_523a0261,,,,,False,[Errno 2] No such file or directory: 'D:\\agent_learning\\nano-banana-milvus\\backend\\new_products\\NEW_1773751482_523a0261.jpg',
